pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_met,st_rad,sy_pnum,pl_dens_calc,mass_radius_ratio,hz_flag,log_rade,log_dens,log_period,log_smax,log_eqt,cluster,umap_x,umap_y,pl_bmasse_imputed,pl_rade_imputed,pl_eqt_imputed,pl_insol_imputed,cluster_name,method_group
Kepler-311 b,Kepler-311,Transit,2014.0,1.7,3.53,9.176092,0.087,960.0,201.362,5905.0,-0.03,1.188,3,3.9589456543863224,2.076470588235294,0,0.2304489213782739,0.5975795401047859,0.9626577591752556,-1.0604807473813815,2.9822712330395684,3.0,1.1610996,15.627482,0,0,0,0,Mini-Neptunes,Transit
Kepler-311 c,Kepler-311,Transit,2014.0,1.43,2.63,19.738286,0.145,744.0,72.456,5905.0,-0.03,1.188,3,4.9556341257646945,1.8391608391608392,0,0.1553360374650618,0.6950992349463575,1.2953094374389529,-0.8386319977650252,2.8715729355458786,3.0,0.95545286,15.579087,0,0,0,0,Mini-Neptunes,Transit
Kepler-311 d,Kepler-311,Transit,2023.0,2.05,4.86,232.040326,0.7326,327.0,2.71,5903.0,-0.1,1.156,3,3.108324023156949,2.3707317073170735,0,0.31175386105575426,0.4925262849468157,2.3655634669485575,-0.13513308567147386,2.514547752660286,3.0,0.43242744,14.779913,0,0,0,0,Mini-Neptunes,Transit
Kepler-312 b,Kepler-312,Transit,2014.0,1.29,2.21,1.772419,0.031,1685.0,4124.022,6115.0,0.15,1.467,2,5.672503096629273,1.7131782945736433,0,0.11058971029924897,0.7537747416391488,0.24856639694010255,-1.5086383061657274,3.2265999052073573,3.0,6.737431,11.838452,0,0,0,0,Mini-Neptunes,Transit
Kepler-312 c,Kepler-312,Transit,2014.0,3.15,10.1,19.747412,0.153,754.0,165.824,6115.0,0.15,1.467,2,1.7804972665138954,3.2063492063492065,0,0.49831055378960054,0.25054131126562607,1.2955101871642039,-0.8153085691824012,2.877371345869774,3.0,7.564391,10.262024,0,0,0,0,Mini-Neptunes,Transit
Kepler-313 b,Kepler-313,Transit,2014.0,2.53,6.94,14.970418,0.125,883.0,142.4,5727.0,0.26,1.536,2,2.361290967173157,2.7430830039525693,0,0.40312052117581787,0.3731495057791864,1.1752339267665008,-0.9030899869919435,2.9459607035775686,3.0,7.7664847,10.753065,0,0,0,0,Mini-Neptunes,Transit
Kepler-313 c,Kepler-313,Transit,2014.0,2.57,7.13,32.273273,0.208,683.0,51.1,5727.0,0.26,1.536,2,2.3144177889861637,2.77431906614786,0,0.4099331233312945,0.36444175870976714,1.5088430116932987,-0.6819366650372385,2.8344207036815323,3.0,7.743793,10.292815,0,0,0,0,Mini-Neptunes,Transit
Kepler-314 b,Kepler-314,Transit,2014.0,0.83,0.498,2.461069,0.035,1195.0,488.674,5378.0,0.322,0.95,2,4.798954855566846,0.6,0,-0.0809219076239261,0.6811466644832809,0.3911237900129084,-1.4559319556497243,3.0773679052841567,5.0,7.2675433,11.677186,0,0,0,0,Earth-sized Rocky,Transit
Kepler-314 c,Kepler-314,Transit,2014.0,2.9,8.75,5.960392,0.064,890.0,149.977,5378.0,0.322,0.95,2,1.9768133174791915,3.0172413793103448,0,0.4623979978989561,0.29596565817723003,0.775274823135965,-1.193820026016113,2.949390006644913,3.0,7.9230494,10.941648,0,0,0,0,Mini-Neptunes,Transit
Kepler-315 b,Kepler-315,Transit,2014.0,3.77,13.7,96.101141,0.402,409.0,6.674,5796.0,-0.27,1.037,2,1.4087960179187162,3.6339522546419096,0,0.5763413502057928,0.14884811539081322,1.9827285440375584,-0.3957739469155299,2.611723308007342,3.0,5.5010586,9.035096,0,0,0,0,Mini-Neptunes,Transit
